bad data: 190
NAME: BossLetsPlays-GhostSmasher.jar, ERROR: No methods present.
NAME: tomekr-BurpFlashCSRFBuilder.jar, ROWS: 1, AVERAGE: 3.0
NAME: bpass-DSSv2.jar, ROWS: 57, AVERAGE: 2.6842105
NAME: nchavez324-Frontline.jar, ROWS: 8, AVERAGE: 1.875
NAME: mrLysyi-AlgorithmsOne.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: spartango-HiCGraph.jar, ROWS: 2, AVERAGE: 1.0
NAME: jesusespinal-SASPnetj.jar, ROWS: 1, AVERAGE: 2.0
NAME: eriber88-RealTimeSystems.jar, ROWS: 2, AVERAGE: 3.0
NAME: Tcc100-LichtSpiel.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: sihu-TSP.jar, ROWS: 2, AVERAGE: 1.0
NAME: mr-ma-ProteinPrediction.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: TuGu-hnh_union.jar, ROWS: 2, AVERAGE: 2.0
NAME: ralfbiedert-jcores.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: lalo73-space-invaders.jar, ROWS: 16, AVERAGE: 1.3125
NAME: Skepter-ProjectEuler.jar, ROWS: 1, AVERAGE: 2.0
NAME: JohnL4-HexGrid.jar, ROWS: 13, AVERAGE: 2.3846154
NAME: dare0021-Enigma.jar, ROWS: 4, AVERAGE: 1.0
NAME: kpj-The-Forgotten.jar, ROWS: 1, AVERAGE: 1.0
NAME: ahogui12-Grallou.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: pblohm-WordSpaceVisualization.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: possan-keystoneP5.jar, ROWS: 2, AVERAGE: 2.0
NAME: Javu-SW2.jar, ROWS: 1, AVERAGE: 3.0
NAME: TOGoS-NetworkRTS.jar, ROWS: 7, AVERAGE: 1.8571428
NAME: EduardOckerse-ExifIndexator.jar, ROWS: 32, AVERAGE: 2.65625
NAME: timvdalen-2IV35-project.jar, ROWS: 5, AVERAGE: 1.0
NAME: pacampbell-Game.jar, ROWS: 5, AVERAGE: 1.4
NAME: Konafets-gameDesignWorkshop.jar, ROWS: 13, AVERAGE: 1.6923077
NAME: xino2-WordConstructor.jar, ROWS: 2, AVERAGE: 1.0
NAME: pilot51-cometbusters-java.jar, ROWS: 9, AVERAGE: 1.6666666
NAME: InverseFunction-SpeedPong.jar, ROWS: 4, AVERAGE: 1.25
NAME: hpplayer-school_new.jar, ROWS: 1, AVERAGE: 1.0
NAME: alierkan-Yeterlilik.jar, ROWS: 1, AVERAGE: 2.0
NAME: tokee-telltale.jar, ROWS: 1, AVERAGE: 2.0
NAME: forana-Deck-Printer.jar, ROWS: 1, AVERAGE: 1.0
NAME: vicboma1-sequential-patterns.jar, ROWS: 1, AVERAGE: 3.0
NAME: JohnathonNow-Bending.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: jantorestolsvik-IT3105-Project-2.jar, ROWS: 1, AVERAGE: 1.0
NAME: Nour2610-Game-Course.jar, ROWS: 1, AVERAGE: 1.0
NAME: jerryycwei-RockBandTouringApp.jar, ROWS: 8, AVERAGE: 2.625
NAME: mkalten-TUIO11_JAVA.jar, ROWS: 1, AVERAGE: 6.0
NAME: AdmiralLandslide-Circuit-sim.jar, ROWS: 2, AVERAGE: 3.5
NAME: xPropel-ySmelting.jar, ROWS: 1, AVERAGE: 1.0
NAME: loclamor-fenwicklife.jar, ROWS: 1, AVERAGE: 1.0
NAME: residuen-OpenEdu-SerialConnection.jar, ROWS: 4, AVERAGE: 1.75
NAME: jstudent-robocode.jar, ROWS: 4, AVERAGE: 1.5
NAME: gabrielwong-Dungeon-Maze.jar, ROWS: 2, AVERAGE: 1.0
NAME: elpurofresh-SimpleGUI.jar, ROWS: 2, AVERAGE: 1.0
NAME: jreber-SpaceWarp.jar, ROWS: 1, AVERAGE: 3.0
NAME: HiSeSitorCo-HiSeSitor.jar, ROWS: 1, AVERAGE: 3.0
NAME: dai1741-MyCompetitiveProgrammingMemo.jar, ROWS: 18, AVERAGE: 1.0555556
NAME: Nimmi-dev-FirstJavaGame.jar, ROWS: 3, AVERAGE: 1.0
NAME: kkjdrummer99-CourseShare_PPTBased_KS_Creation_System.jar, ROWS: 2, AVERAGE: 1.0
NAME: Ryan-Knowles-P2P_Space_Game.jar, ROWS: 8, AVERAGE: 2.75
NAME: sraper-Mosquito.jar, ROWS: 70, AVERAGE: 2.5428572
NAME: gamecodeparty-cardgame.jar, ROWS: 5, AVERAGE: 2.6
NAME: benjp-phodifle.jar, ROWS: 1, AVERAGE: 2.0
NAME: rward-robocode-raw-zero.jar, ROWS: 1, AVERAGE: 1.0
NAME: allx1m1k-CoreJavaBook.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: iensen-Algorithms.jar, ROWS: 11, AVERAGE: 2.090909
NAME: madamsmall-Carnies.jar, ROWS: 14, AVERAGE: 1.9285715
NAME: smcpeak-ded.jar, ROWS: 20, AVERAGE: 1.2
NAME: joshuawarner32-mathray.jar, ROWS: 2, AVERAGE: 1.0
NAME: tatodelaporte-projetointegrado.jar, ROWS: 1, AVERAGE: 1.0
NAME: koast-BouncingBall.jar, ROWS: 2, AVERAGE: 1.0
NAME: samsoto-EvolutionWorld.jar, ROWS: 3, AVERAGE: 1.0
NAME: MarkyVasconcelos-TDGame.jar, ROWS: 16, AVERAGE: 1.25
NAME: ryanbhayward-hexgui.jar, ROWS: 5, AVERAGE: 1.6
NAME: morethanlights-robot-prog-openjdk-indy.jar, ROWS: 3, AVERAGE: 1.0
NAME: faizans-departureapp.jar, ROWS: 6, AVERAGE: 5.8333335
NAME: haved-2DTileGame.jar, ROWS: 1, AVERAGE: 1.0
NAME: LogicalDash-VectorWorld.jar, ROWS: 1, AVERAGE: 1.0
NAME: michaelelin-3DTest.jar, ROWS: 6, AVERAGE: 1.6666666
NAME: RexYing-acm-practice.jar, ROWS: 10, AVERAGE: 2.0
NAME: buster52000-Get-Schooled.jar, ROWS: 6, AVERAGE: 2.0
NAME: PeterMitrano-MovingMath.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: tomwhale-rp-localisation.jar, ROWS: 3, AVERAGE: 1.0
NAME: michelj90-world-of-zool.jar, ROWS: 1, AVERAGE: 1.0
NAME: NashGlover-MapViewer.jar, ROWS: 4, AVERAGE: 1.5
NAME: FabianConP-ProgrammingContest.jar, ROWS: 4, AVERAGE: 1.0
NAME: Weltraumschaf-jebnf.jar, ROWS: 27, AVERAGE: 5.4814816
NAME: taolin204-algorithm.jar, ROWS: 43, AVERAGE: 1.4186046
NAME: Ren911-Visual_Graph.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: kai23-Sheepteroids.jar, ROWS: 3, AVERAGE: 3.0
NAME: mahkameh-y-MultiPlayerWormsGame.jar, ROWS: 3, AVERAGE: 4.0
NAME: AnalyseSI-AnalyseSI.jar, ROWS: 11, AVERAGE: 1.7272727
NAME: svenofix-StainedSock.jar, ROWS: 7, AVERAGE: 6.0
NAME: tube42-composition.jar, ROWS: 9, AVERAGE: 1.7777778
NAME: niklasf-CollageCreator.jar, ROWS: 7, AVERAGE: 2.2857144
NAME: challenger1p-SkyWriter.jar, ROWS: 1, AVERAGE: 2.0
NAME: zan2434-MoveMouse.jar, ROWS: 1, AVERAGE: 2.0
NAME: arinaschwartz-Schelling.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: fkmclane-TSP.jar, ROWS: 2, AVERAGE: 1.0
NAME: edisoncor-edisoncorsx.jar, ROWS: 91, AVERAGE: 1.8571428
NAME: aNNiMON-University-Java.jar, ROWS: 3, AVERAGE: 1.0
NAME: doodersrage-useless-java.jar, ROWS: 1, AVERAGE: 2.0
NAME: dzorbey-academicProjects.jar, ROWS: 2, AVERAGE: 1.0
NAME: 03143059-Pong.jar, ROWS: 17, AVERAGE: 2.4705882
NAME: thomasrebele-veno.jar, ROWS: 1, AVERAGE: 4.0
NAME: kaikue-RPGEngine.jar, ROWS: 2, AVERAGE: 3.0
NAME: dsallen7-ransack-java.jar, ROWS: 2, AVERAGE: 1.0
NAME: michaelpearson-Swen-222-Cluedo.jar, ROWS: 1, AVERAGE: 2.0
NAME: cardiffmondayclub-AntiChess.jar, ROWS: 1, AVERAGE: 1.0
NAME: Xztty-algs4.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: ShoshanaGarber-mco152Spring2014.jar, ROWS: 1, AVERAGE: 1.0
NAME: solipsis-TTT.jar, ROWS: 28, AVERAGE: 2.25
NAME: wichmann-Schaltwerk.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: complover116-QAR-2.jar, ROWS: 8, AVERAGE: 3.5
NAME: chebastian-Puyo.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: mironec-TD_Game.jar, ROWS: 1, AVERAGE: 2.0
NAME: Jerome67000-SnakeJava2D.jar, ROWS: 1, AVERAGE: 1.0
NAME: pieterhuibers-icg-2014.jar, ROWS: 2, AVERAGE: 1.5
NAME: martbeck-InvestmentGame.jar, ROWS: 2, AVERAGE: 2.5
NAME: AKeizer-side-projects.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: aProperFox-Moominaters.jar, ROWS: 4, AVERAGE: 2.5
NAME: tiltedlistener-GalaticWar.jar, ROWS: 5, AVERAGE: 1.4
NAME: harshadura-LankaFuelMartCRM.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: davidmoten-grumpy.jar, ROWS: 21, AVERAGE: 1.8571428
NAME: albailey-NESDevStudio.jar, ROWS: 4, AVERAGE: 1.5
NAME: projetJavaL3-BatailleNavale.jar, ROWS: 1, AVERAGE: 1.0
NAME: rretzbach-kimabo.jar, ROWS: 1, AVERAGE: 4.0
NAME: garysheng-2D-Shooter-Game.jar, ROWS: 2, AVERAGE: 2.5
NAME: ChallenHB-Springies.jar, ROWS: 21, AVERAGE: 1.6666666
NAME: charleslockner-eclass.jar, ROWS: 2, AVERAGE: 1.0
NAME: S1Products-S1WifiServer.jar, ROWS: 13, AVERAGE: 3.1538463
NAME: scottpreston-ScottsBots-Core.jar, ROWS: 1, AVERAGE: 1.0
NAME: xinhaoyuan-TankMania.jar, ROWS: 2, AVERAGE: 3.5
NAME: felix11-OpenPCG.jar, ROWS: 2, AVERAGE: 1.0
NAME: rsnibbles-UAAlgorithms.jar, ROWS: 22, AVERAGE: 1.9545455
NAME: dannygoodman210-SLogoTeam1.jar, ROWS: 23, AVERAGE: 1.6956521
NAME: sorrisosrs-TribalWars-Pro-Tools.jar, ROWS: 2, AVERAGE: 1.0
NAME: Shamus03-Game-Package.jar, ROWS: 28, AVERAGE: 2.607143
NAME: PIfagor-EventsSimulation.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: rommager-zoologics.jar, ROWS: 1, AVERAGE: 3.0
NAME: Kourpa-NeuroGame.jar, ROWS: 9, AVERAGE: 2.7777777
NAME: blinkawan-Sms-Broadcaster-KKN.jar, ROWS: 1, AVERAGE: 1.0
NAME: khakulov-CreepSmash.jar, ROWS: 13, AVERAGE: 2.0
NAME: KevinStern-software-and-algorithms.jar, ROWS: 9, AVERAGE: 1.5555556
NAME: TrentWDB-Requiem.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: Salamander0-Java.jar, ROWS: 12, AVERAGE: 1.1666666
NAME: cran-JavaGD.jar, ROWS: 2, AVERAGE: 4.0
NAME: airunderscoreland-Poseur.jar, ROWS: 21, AVERAGE: 1.6666666
NAME: MartijnVerkleij-ssweek78.jar, ROWS: 1, AVERAGE: 1.0
NAME: vjanmey-EpicMudfia.jar, ROWS: 1, AVERAGE: 2.0
NAME: JohnKapri-Java2DGame.jar, ROWS: 2, AVERAGE: 4.5
NAME: xProf-xpr_launcher.jar, ROWS: 1, AVERAGE: 1.0
NAME: MathiasLoewe-Awesomemap.jar, ROWS: 2, AVERAGE: 1.0
NAME: Fir3will-Java-Games.jar, ROWS: 4, AVERAGE: 2.25
NAME: m-marini-atc.jar, ROWS: 6, AVERAGE: 3.0
NAME: PIfagor-PercolationGrid.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: Shibynator-CADNetBean.jar, ROWS: 6, AVERAGE: 1.0
NAME: Tnek-Seating-Chart.jar, ROWS: 1, AVERAGE: 1.0
NAME: zpconn-RoboFuehrer.jar, ROWS: 1, AVERAGE: 2.0
NAME: monkeygame7-SpaceShooter.jar, ROWS: 2, AVERAGE: 2.5
NAME: SoraZodia-ICSIII-Pong.jar, ROWS: 10, AVERAGE: 1.9
NAME: mathisdt-sdb.jar, ROWS: 2, AVERAGE: 1.0
NAME: tmfset-MBTA-App.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: alexcoco-paranoid_asteroid.jar, ROWS: 25, AVERAGE: 1.64
NAME: amadeobellotti-MobileSmartBoard.jar, ROWS: 4, AVERAGE: 1.75
NAME: bxm156-ReconGraphViewer.jar, ROWS: 30, AVERAGE: 1.9666667
NAME: AdamGadziak-2048-Java.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: Whirligig231-boilermake2014.jar, ROWS: 2, AVERAGE: 2.5
NAME: amouhoub-AlphaGraphCPM.jar, ROWS: 1, AVERAGE: 3.0
NAME: sprigyig-DCPUAlpha.jar, ROWS: 21, AVERAGE: 2.5238094
NAME: ww2lin-patternizer.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: Annoa-bballs.jar, ROWS: 2, AVERAGE: 1.0
NAME: LeeCIT-Hangman.jar, ROWS: 3, AVERAGE: 2.6666667
NAME: Zato-One-canteen.jar, ROWS: 1, AVERAGE: 2.0
NAME: maciejjo-javatown.jar, ROWS: 2, AVERAGE: 1.0
NAME: bylexus-JFractGen.jar, ROWS: 1, AVERAGE: 1.0
NAME: MyRealityCoding-chronos.jar, ROWS: 1, AVERAGE: 2.0
NAME: gareth-lloyd-visualizing-events.jar, ROWS: 2, AVERAGE: 1.0
NAME: icereed-tomato.jar, ROWS: 1, AVERAGE: 5.0
NAME: kapelner-GemIdent.jar, ROWS: 8, AVERAGE: 1.0
NAME: arpruss-brainflex.jar, ROWS: 3, AVERAGE: 1.0
NAME: Moepelchen-StreetMap.jar, ROWS: 36, AVERAGE: 2.6111112
NAME: gmeral-ALProject.jar, ROWS: 6, AVERAGE: 1.6666666
NAME: Logicail-PBScripts.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: StifteUndMaeuse-SuMEreigniss.jar, ROWS: 4, AVERAGE: 1.0
NAME: frostalf-FrostMiner.jar, ROWS: 10, AVERAGE: 2.6
NAME: JuhaniImberg-jrrogue.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: Tomtombinary-PlateformeGame.jar, ROWS: 1, AVERAGE: 3.0
NAME: RecognizeIm-Java-client.jar, ROWS: 1, AVERAGE: 2.0
NAME: lunchza-Series-Organiser.jar, ROWS: 1, AVERAGE: 2.0
NAME: stonneau-spaceshipjava.jar, ROWS: 5, AVERAGE: 1.0
NAME: JohnMunsch-hotsheet.jar, ROWS: 2, AVERAGE: 4.0
NAME: chaitu236-BallBouncer2.jar, ROWS: 5, AVERAGE: 1.6
NAME: alycarter-ludumDare27.jar, ROWS: 6, AVERAGE: 1.0
NAME: seokhohong-Reverse-Game-Of-Life.jar, ROWS: 1, AVERAGE: 2.0
NAME: nickboy-kmeans.jar, ROWS: 1, AVERAGE: 1.0
NAME: jeranvier-toolbox.jar, ROWS: 30, AVERAGE: 3.3333333
NAME: Datos1-LogicTEC.jar, ROWS: 2, AVERAGE: 1.0
NAME: remigourdon-sound-editors.jar, ROWS: 2, AVERAGE: 1.0
NAME: iamtommo-JNotify.jar, ROWS: 1, AVERAGE: 1.0
NAME: CatlinCodeTeams-RPG.jar, ROWS: 1, AVERAGE: 2.0
NAME: kayhan-swarup-Simulation.jar, ROWS: 3, AVERAGE: 1.0
NAME: Lauszus-Assignments02102.jar, ROWS: 78, AVERAGE: 1.4615384
NAME: pawelkorus-FFlames.jar, ROWS: 69, AVERAGE: 2.6376812
NAME: ryguy21-cs355.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: aalmiray-jsilhouette-geom.jar, ROWS: 61, AVERAGE: 2.1639345
NAME: w3blogfr-zebra-zpl.jar, ROWS: 1, AVERAGE: 1.0
NAME: andreyilya-graph.jar, ROWS: 1, AVERAGE: 1.0
NAME: bradleyasu-T3.jar, ROWS: 1, AVERAGE: 1.0
NAME: jzy3d-jzy3d-tools-convexhull.jar, ROWS: 21, AVERAGE: 1.8095238
NAME: tgriswol-SwarmRobotics.jar, ROWS: 2, AVERAGE: 2.5
NAME: bgrochal-TurtlePen.jar, ROWS: 2, AVERAGE: 1.0
NAME: ttribby-DavidAndGoliath.jar, ROWS: 13, AVERAGE: 2.5384614
NAME: hananahmad114-Belletto.jar, ROWS: 2, AVERAGE: 1.0
NAME: PatoBeltran-EnoxYPeni.jar, ROWS: 1, AVERAGE: 3.0
NAME: chgian-SDAssignment.jar, ROWS: 2, AVERAGE: 1.0
NAME: sentinelweb-TimeLine-OSC.jar, ROWS: 1, AVERAGE: 2.0
NAME: Sycokinetic-tacrpg.jar, ROWS: 1, AVERAGE: 1.0
NAME: aminmeyghani-scatterPlot.jar, ROWS: 1, AVERAGE: 2.0
NAME: BrainBurst-BrainBurst.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: rlichtenwalter-LPmade.jar, ROWS: 16, AVERAGE: 1.6875
NAME: friends-repository-PhotoliciousSwing.jar, ROWS: 4, AVERAGE: 2.0
NAME: DreamHub-ytkj001.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: PauloMigAlmeida-NeuralNetworkStudies.jar, ROWS: 5, AVERAGE: 3.4
NAME: TikhonJelvis-simulation.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: Zhangerr-alecpokemon.jar, ROWS: 1, AVERAGE: 1.0
NAME: alestrooisma-MedievalTactics.jar, ROWS: 8, AVERAGE: 2.125
NAME: captainhead-NoiseyApp.jar, ROWS: 1, AVERAGE: 1.0
NAME: MobbyGFX96-OSBot-Scripts.jar, ROWS: 2, AVERAGE: 1.0
NAME: w0270525-turbo-batman.jar, ROWS: 2, AVERAGE: 1.0
NAME: jholdstock-HamBaguette.jar, ROWS: 1, AVERAGE: 2.0
NAME: goldwasser-huffman.jar, ROWS: 13, AVERAGE: 3.6923077
NAME: bramp-jPsyScript.jar, ROWS: 2, AVERAGE: 1.0
NAME: JackNeus-MazeGame.jar, ROWS: 1, AVERAGE: 1.0
NAME: viccuad-ISplayer.jar, ROWS: 1, AVERAGE: 2.0
NAME: fupingpenn-Airplane1.0.jar, ROWS: 19, AVERAGE: 1.9473684
NAME: azuki-framework-azuki-animation.jar, ROWS: 1, AVERAGE: 4.0
NAME: jrbostic-powerpaint.jar, ROWS: 4, AVERAGE: 2.25
NAME: gauravdabas-CarPatrolv2.jar, ROWS: 2, AVERAGE: 1.5
NAME: gfaerie-Jasteroids.jar, ROWS: 2, AVERAGE: 3.0
NAME: jessielabadan07-Sungka.jar, ROWS: 1, AVERAGE: 1.0
NAME: TutenStain-Hedgehog-Photo.jar, ROWS: 17, AVERAGE: 1.6470588
NAME: forando-LP_ElQueue1.jar, ROWS: 1, AVERAGE: 1.0
NAME: SebastianTroy-Evolving-Plants-Sexual-Reproduction.jar, ROWS: 1, AVERAGE: 1.0
NAME: eraether-JChess.jar, ROWS: 1, AVERAGE: 2.0
NAME: JacobSchwartzSoerensen-PacMan.jar, ROWS: 8, AVERAGE: 3.25
NAME: XzekyeX-LD30.jar, ROWS: 2, AVERAGE: 1.0
NAME: rosspcahoon-scrolling-platformer.jar, ROWS: 26, AVERAGE: 1.5769231
NAME: PRImA-Research-Lab-prima-core-libs.jar, ROWS: 1, AVERAGE: 1.0
NAME: phil-brown-javaQuery.jar, ROWS: 9, AVERAGE: 6.7777777
NAME: MinoriPhone-Desktop.jar, ROWS: 38, AVERAGE: 2.4473684
NAME: helloyou2012-Mindmap.jar, ROWS: 6, AVERAGE: 2.6666667
NAME: rjeschke-neetutils-base.jar, ROWS: 1, AVERAGE: 2.0
NAME: Nmarb-Survive.jar, ROWS: 2, AVERAGE: 2.0
NAME: jodal-mmfplanner.jar, ROWS: 9, AVERAGE: 2.7777777
NAME: AdventurePrimefire-YSPL.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: smrodin-automatasITSZ.jar, ROWS: 1, AVERAGE: 1.0
NAME: marcelo-trier-TesteImagem.jar, ROWS: 1, AVERAGE: 4.0
NAME: CristopherLeal-Pacman.jar, ROWS: 1, AVERAGE: 1.0
NAME: abernardi597-Shade.jar, ROWS: 1, AVERAGE: 1.0
NAME: wxc-tech-Canvas.jar, ROWS: 1, AVERAGE: 4.0
NAME: IntrepidPig-Missile-Defense.jar, ROWS: 1, AVERAGE: 2.0
NAME: johnprock-314.jar, ROWS: 1, AVERAGE: 2.0
NAME: franchuk-denkin-action-platformer.jar, ROWS: 1, AVERAGE: 1.0
NAME: Mmuzaf-HeadHunter.Bottles.jar, ROWS: 7, AVERAGE: 2.5714285
NAME: Mannerpb-MannerMapUtility.jar, ROWS: 1, AVERAGE: 1.0
NAME: TheJeremail-RemaVizualiserViewer.jar, ROWS: 1, AVERAGE: 2.0
NAME: bishoybassem-mega-calculator.jar, ROWS: 5, AVERAGE: 1.4
NAME: UCSB-CS56-Projects-cs56-games-simple-rpg.jar, ROWS: 20, AVERAGE: 1.4
NAME: eandr127-Head-Game.jar, ROWS: 1, AVERAGE: 1.0
NAME: thelollies-Parser.jar, ROWS: 2, AVERAGE: 2.5
NAME: kacper--openAskie.jar, ROWS: 1, AVERAGE: 3.0
NAME: pheanor-JRiskProto.jar, ROWS: 22, AVERAGE: 2.409091
NAME: kodvinci-springies.jar, ROWS: 21, AVERAGE: 1.6190476
NAME: rgti-Seminar01.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: brugr9-vistra.jar, ROWS: 11, AVERAGE: 2.5454545
NAME: jobuchho-yalpelor.jar, ROWS: 1, AVERAGE: 1.0
NAME: owq-pdfclown-mod.jar, ROWS: 127, AVERAGE: 2.8031497
NAME: ajweeks-IGMC2014.jar, ROWS: 3, AVERAGE: 2.0
NAME: laivx-tankGame.jar, ROWS: 4, AVERAGE: 1.75
NAME: tingdroid-shapes.jar, ROWS: 3, AVERAGE: 2.0
NAME: fiji-BalloonSegmentation.jar, ROWS: 7, AVERAGE: 1.8571428
NAME: jkristof-daily-programmer.jar, ROWS: 1, AVERAGE: 3.0
NAME: frankhu1234-SolarSystemMiner.jar, ROWS: 7, AVERAGE: 1.0
NAME: HySpeed-BuildariaInventoryEditor.jar, ROWS: 2, AVERAGE: 2.5
NAME: TwUni2012-ebusiness.jar, ROWS: 1, AVERAGE: 2.0
NAME: alexei-yasko-Erudit.jar, ROWS: 2, AVERAGE: 1.0
NAME: brianh9640-rover-navigator.jar, ROWS: 19, AVERAGE: 1.5789474
NAME: imagescience-ImageScience.jar, ROWS: 24, AVERAGE: 2.125
NAME: greneholt-csci306clue.jar, ROWS: 4, AVERAGE: 1.0
NAME: Albaniusz-java_2dtutorial.jar, ROWS: 4, AVERAGE: 3.25
NAME: VGDAGroup2-BigCheeseClimb.jar, ROWS: 12, AVERAGE: 1.0833334
NAME: RubenAgudo-EHUSpaceInvaders.jar, ROWS: 2, AVERAGE: 2.5
NAME: charxie-energy2d.jar, ROWS: 153, AVERAGE: 2.2091503
NAME: thelollies-PrologA2.jar, ROWS: 1, AVERAGE: 2.0
NAME: harshil07-java-bittorent-client.jar, ROWS: 2, AVERAGE: 1.0
NAME: kilkkij-ohha.jar, ROWS: 4, AVERAGE: 2.0
NAME: DestriX-IntelliRS.jar, ROWS: 1, AVERAGE: 1.0
NAME: skeeto-october-chess-engine.jar, ROWS: 5, AVERAGE: 2.6
NAME: bbuck-DragonConsole.jar, ROWS: 1, AVERAGE: 2.0
NAME: ISQUISHALL-Escape.jar, ROWS: 3, AVERAGE: 2.0
NAME: dashersw-plantuml.jar, ROWS: 519, AVERAGE: 2.2678227
NAME: marushkaalex-Airlines.jar, ROWS: 2, AVERAGE: 1.0
NAME: timnp-VisualBDD.jar, ROWS: 1, AVERAGE: 1.0
NAME: martinmajer-flickrviewer.jar, ROWS: 2, AVERAGE: 3.0
NAME: underthesun-ExpProcessModeling.jar, ROWS: 2, AVERAGE: 1.0
NAME: hrtusd-space_invaders_pj1.jar, ROWS: 2, AVERAGE: 1.0
NAME: dolomite00-PuzzleChecker.jar, ROWS: 1, AVERAGE: 2.0
NAME: Rosalila-SpriteAligner.jar, ROWS: 1, AVERAGE: 1.0
NAME: chief-tyrol-301game.jar, ROWS: 1, AVERAGE: 3.0
NAME: Avoduhcado-AquaCig.jar, ROWS: 32, AVERAGE: 2.6875
NAME: DimaWittmann-LSA_editor.jar, ROWS: 1, AVERAGE: 2.0
NAME: doujianbo-Java.jar, ROWS: 2, AVERAGE: 2.5
NAME: jlcampbell20-DesignView.jar, ROWS: 10, AVERAGE: 2.6
NAME: djdodson88-BackToSchool.jar, ROWS: 3, AVERAGE: 1.0
NAME: elyl-graphique-rond-batman.jar, ROWS: 1, AVERAGE: 2.0
NAME: malyzajko-xfp.jar, ROWS: 1, AVERAGE: 1.0
NAME: sibinea-pdfextractor.jar, ROWS: 1, AVERAGE: 1.0
NAME: Salocin19-Remake-Game.jar, ROWS: 1, AVERAGE: 2.0
NAME: ivarkrabol-lunar-quest.jar, ROWS: 10, AVERAGE: 1.5
NAME: Arrvi-ColorExtractor.jar, ROWS: 1, AVERAGE: 2.0
NAME: pYr0G3ist-j2dgl.jar, ROWS: 1, AVERAGE: 1.0
NAME: karaggeorge-ArcherFaceOff.jar, ROWS: 1, AVERAGE: 2.0
NAME: seanexplus-JOGLTutorial.jar, ROWS: 14, AVERAGE: 1.0
NAME: fatgram10-puzzler.jar, ROWS: 2, AVERAGE: 2.5
NAME: BramVanRensbergen-associations-under-cognitive-load.jar, ROWS: 1, AVERAGE: 1.0
NAME: kdiverson-phyloGeoRef.jar, ROWS: 21, AVERAGE: 1.9523809
NAME: c0deb0y-windmill.jar, ROWS: 2, AVERAGE: 1.0
NAME: Ibot02-Quader.jar, ROWS: 1, AVERAGE: 6.0
NAME: pmbrennan-lander-2009.jar, ROWS: 4, AVERAGE: 2.5
NAME: blackrim-phyutility.jar, ROWS: 84, AVERAGE: 3.797619
NAME: LaudableBauble-SWPR-Indaprojekt.jar, ROWS: 16, AVERAGE: 2.375
NAME: ohss-Swingman.jar, ROWS: 6, AVERAGE: 1.0
NAME: ag9g10-GraphSearch.jar, ROWS: 4, AVERAGE: 1.0
NAME: bmael-AlarmInteraction.jar, ROWS: 4, AVERAGE: 5.0
NAME: Rallymen007-projetmd.jar, ROWS: 1, AVERAGE: 2.0
NAME: TheSOB88-EbProjEdit.jar, ROWS: 11, AVERAGE: 1.7272727
NAME: DSRainy-test-convert-color.jar, ROWS: 1, AVERAGE: 1.0
NAME: vectorpen-vectorpen.jar, ROWS: 1, AVERAGE: 3.0
NAME: snaketron-PlaneSweepTriangulation.jar, ROWS: 3, AVERAGE: 2.6666667
NAME: Ostah-Physics2D.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: cmadsen-vldocking.jar, ROWS: 13, AVERAGE: 2.0
NAME: davidsbuchan-BounceBallGame.jar, ROWS: 4, AVERAGE: 1.75
NAME: DFreemanbk-MM.jar, ROWS: 4, AVERAGE: 4.25
NAME: route-a-lot-route-a-lot.jar, ROWS: 6, AVERAGE: 1.5
NAME: pauldeschacht-pdf2txtpos.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: micahjsmith-GameOfLife.jar, ROWS: 1, AVERAGE: 2.0
NAME: i3luefirech-tank_bash.jar, ROWS: 3, AVERAGE: 4.3333335
NAME: gudenn-Agenda01.jar, ROWS: 1, AVERAGE: 1.0
